pergunta,resposta,exemplo
Torne a pasta 'dados' acessível apenas ao dono.,chmod 700 dados,chmod *** dados
Mude o dono da pasta 'backup' para root.,chown root backup,chown **** backup
Permita apenas leitura para o dono no arquivo 'segredo.txt'.,chmod 400 segredo.txt,chmod *** segredo.txt
Remova a permissão de execução para outros em 'script.sh'.,chmod o-x script.sh,chmod *-* script.sh
Remova todas as permissões de 'arquivo.txt'.,chmod 000 arquivo.txt,chmod *** arquivo.txt
Adicione permissão de escrita para o dono em 'dados.csv'.,chmod u+w dados.csv,chmod *+* dados.csv
Torne o arquivo 'segredo.sh' executável apenas para o dono.,chmod 700 segredo.sh,chmod *** segredo.sh
Permita execução a todos no script 'start.sh'.,chmod +x start.sh,chmod +* start.sh
O grupo deve poder executar o programa 'runme'.,chmod g+x runme,chmod *+* runme
Permita leitura para todos no arquivo 'readme.md'.,chmod a+r readme.md,chmod *+* readme.md
Adicione permissão de execução ao grupo no diretório 'scripts'.,chmod g+x scripts,chmod *+* scripts
Apenas outros devem poder ler 'aviso.txt'.,chmod 004 aviso.txt,chmod *** aviso.txt
Dê permissão 755 ao diretório 'app'.,chmod 755 app,chmod *** app
Apenas o grupo pode ler e executar 'menu.sh'.,chmod 050 menu.sh,chmod *** menu.sh
Remova a permissão de escrita do dono em 'protecao.txt'.,chmod u-w protecao.txt,chmod *-* protecao.txt
Troque o dono do script 'deploy.sh' para 'admin'.,chown admin deploy.sh,chown ***** deploy.sh
Conceda leitura e execução para grupo e outros em 'site/'.,chmod go+rx site/,chmod **+** site/
O dono deve poder ler e escrever em 'relatorio.csv'.,chmod u+rw relatorio.csv,chmod *+** relatorio.csv
O grupo não deve executar 'install.sh'.,chmod g-x install.sh,chmod *-* install.sh
Permita execução apenas ao grupo no programa 'verifica'.,chmod 010 verifica,chmod *** verifica
Conceda 600 ao arquivo 'secreto.key'.,chmod 600 secreto.key,chmod *** secreto.key
Permita que todos leiam e escrevam em 'temp.log'.,chmod 666 temp.log,chmod *** temp.log
Mude o dono do diretório 'backup' para o usuário 'backupuser'.,chown backupuser backup,chown ******** backup
Remova permissão de leitura do grupo em 'confidencial.txt'.,chmod g-r confidencial.txt,chmod *-* confidencial.txt
Dê permissão de escrita ao grupo em 'dados.csv'.,chmod g+w dados.csv,chmod *+* dados.csv
Remova permissão de escrita para outros em 'script.sh'.,chmod o-w script.sh,chmod *-* script.sh
